SIZE,AVERAGE,BEST,WORST
918,7313,7911,6642
24,68,79,57
573,4174,4554,3784
840,6622,7139,5949
209,1220,1356,1082
435,3002,3284,2687
500,3544,3855,3177
821,6442,6968,5842
967,7769,8386,7053
834,6515,7091,5924
798,6238,6755,5622
870,6862,7449,6214
933,7478,8052,6814
534,3817,4181,3458
559,4059,4420,3673
738,5644,6165,5098
477,3318,3654,3008
52,199,229,169
667,5013,5464,4531
292,1837,2039,1659
852,6712,7269,6075
930,7411,8023,6750
130,660,749,580
625,4632,5058,4172
899,7162,7722,6493
761,5866,6382,5332
531,3809,4142,3433
60,254,277,205
261,1608,1762,1418
567,4122,4488,3725
72,322,351,261
509,3626,3936,3244
483,3434,3704,3049
991,7981,8626,7263
386,2606,2853,2306
532,3818,4157,3427
555,4012,4376,3617
409,2813,3052,2488
355,2374,2582,2083
246,1494,1647,1312
739,5632,6166,5115
713,5471,5910,4920
703,5343,5818,4831
631,4669,5112,4227
270,1675,1841,1484
358,2353,2617,2116
300,1919,2111,1695
746,5710,6239,5176
447,3099,3394,2789
1000,8063,8709,7317
699,5307,5776,4789
19,51,56,39
121,597,676,534
996,8029,8665,7331
496,3540,3815,3155
557,4039,4398,3644
750,5750,6277,5234
542,3903,4257,3540
623,4592,5046,4179
726,5525,6049,5004
485,3419,3728,3066
492,3479,3791,3121
481,3345,3680,3024
459,3191,3494,2871
451,3124,3422,2807
565,4122,4478,3724
357,2353,2610,2102
610,4512,4915,4064
280,1752,1927,1545
946,7586,8179,6890
743,5755,6208,5167
410,2814,3067,2512
403,2743,2998,2425
535,3823,4188,3445
760,5868,6375,5279
173,972,1078,840
937,7502,8082,6840
504,3585,3885,3205
641,4799,5212,4326
712,5440,5903,4889
541,3872,4250,3524
745,5719,6228,5198
473,3310,3614,2976
619,4570,4992,4151
902,7204,7755,6506
562,4102,4441,3696
332,2159,2387,1927
67,283,322,241
47,179,202,143
378,2563,2793,2272
196,1130,1257,989
812,6326,6883,5725
444,3052,3365,2753
295,1877,2064,1669
392,2653,2907,2357
110,543,611,470
778,6019,6553,5412
805,6248,6802,5722
31,105,110,81
339,2225,2448,1965
600,4430,4805,3973
671,5077,5512,4555
