SIZE,AVERAGE,BEST,WORST
494,60995,493,121771
422,43548,421,88831
123,3750,122,7503
259,16655,258,33411
15,61,14,105
457,54166,456,104196
482,60213,481,115921
537,70517,536,143916
654,108504,653,213531
751,145113,750,281625
793,154439,792,314028
425,45670,424,90100
54,836,53,1431
203,10833,202,20503
302,22585,301,45451
274,18908,273,37401
951,229523,950,451725
745,143373,744,277140
151,5827,150,11325
113,3449,112,6328
23,138,22,253
861,198286,860,370230
991,250150,990,490545
579,82919,578,167331
92,2016,91,4186
41,469,40,820
678,122273,677,229503
579,89259,578,167331
219,12193,218,23871
152,5725,151,11476
235,14086,234,27495
156,5816,155,12090
663,111897,662,219453
179,8224,178,15931
592,89470,591,174936
452,51581,451,101926
490,62745,489,119805
144,5118,143,10296
13,49,12,78
83,1642,82,3403
342,31444,341,58311
435,46797,434,94395
439,48405,438,96141
619,96024,618,191271
42,466,41,861
907,204794,906,410871
271,17729,270,36585
785,155379,784,307720
525,74086,524,137550
798,159192,797,318003
291,23094,290,42195
298,22293,297,44253
182,8289,181,16471
899,202856,898,403651
479,57079,478,114481
72,1316,71,2556
523,69314,522,136503
715,123789,714,255255
596,93765,595,177310
953,217087,952,453628
584,83775,583,170236
447,48479,446,99681
75,1634,74,2775
282,20548,281,39621
2,1,1,1
217,11265,216,23436
872,188873,871,379756
32,257,31,496
27,192,26,351
579,79411,578,167331
353,32342,352,62128
812,173451,811,329266
320,25886,319,51040
682,120172,681,232221
818,171074,817,334153
88,2111,87,3828
919,202737,918,421821
947,222050,946,447931
470,53729,469,110215
777,149845,776,301476
721,122082,720,259560
572,80054,571,163306
441,48982,440,97020
565,82161,564,159330
194,9286,193,18721
526,68811,525,138075
195,10551,194,18915
494,62146,493,121771
717,133207,716,256686
17,76,16,136
859,189731,858,368511
336,28835,335,56280
562,79536,561,157641
836,171725,835,349030
717,125112,716,256686
159,6575,158,12561
892,199059,891,397386
355,31842,354,62835
974,238739,973,473851
662,109201,661,218791
173,6996,172,14878
161,6397,160,12880
890,200944,889,395605
848,180230,847,359128
313,23911,312,48828
306,23419,305,46665
745,137144,744,277140
718,120333,717,257403
183,8928,182,16653
858,182055,857,367653
241,14972,240,28920
927,221973,926,429201
442,47970,441,97461
997,243607,996,496506
957,237501,956,457446
251,15089,250,31375
