SIZE,AVERAGE,BEST,WORST
459,3501,1970,2108
941,8144,4538,4789
299,2072,1175,1303
53,240,143,164
930,7986,4473,4733
528,4135,2352,2432
876,7479,4148,4464
603,4783,2674,2935
9,17,13,16
472,3617,2044,2164
69,338,202,222
893,7640,4263,4536
453,3449,1940,2078
58,271,163,179
512,3938,2304,2304
18,57,35,41
683,5609,3074,3415
96,516,304,336
615,4961,2734,3007
387,2850,1608,1750
253,1692,1002,1019
461,3508,1981,2117
646,5225,2899,3183
544,4275,2416,2544
583,4636,2583,2806
162,990,565,637
265,1799,1046,1092
462,3532,1987,2121
943,8126,4552,4797
221,1444,829,904
631,5060,2821,3096
780,6477,3628,3928
695,5717,3141,3480
499,3828,2209,2269
78,399,231,265
161,976,562,631
571,4503,2530,2727
193,1232,706,775
679,5567,3054,3391
722,5970,3289,3629
125,723,429,443
179,1125,635,720
837,7092,3924,4259
79,398,235,269
53,236,143,164
709,5845,3220,3555
429,3233,1805,1973
994,8660,4891,5019
513,3983,2305,2314
526,4087,2343,2419
986,8553,4833,4989
598,4767,2649,2905
860,7319,4052,4384
231,1525,878,945
549,4312,2431,2584
875,7466,4141,4460
570,4500,2525,2721
164,1021,572,648
214,1393,793,877
680,5594,3060,3396
252,1686,996,1016
263,1781,1040,1078
657,5360,2947,3256
848,7221,3984,4320
523,4076,2332,2397
359,2612,1454,1624
417,3091,1747,1911
27,100,60,70
844,7171,3960,4300
766,6370,3567,3835
442,3322,1879,2029
478,3655,2081,2187
23,74,48,58
980,8496,4792,4964
48,208,128,144
215,1400,798,881
588,4672,2604,2840
408,3023,1700,1868
19,59,37,45
107,581,343,385
969,8416,4721,4914
158,965,549,617
716,5912,3256,3596
524,4083,2336,2404
160,981,560,624
479,3689,2088,2190
587,4653,2599,2834
846,7195,3971,4311
139,830,476,519
612,4913,2720,2988
884,7533,4200,4500
400,2972,1664,1824
201,1299,735,818
111,621,362,398
838,7097,3929,4265
598,4778,2649,2905
7,14,9,11
550,4314,2435,2591
601,4807,2664,2923
980,8514,4792,4964
124,704,424,440
787,6570,3659,3974
542,4232,2405,2533
394,2906,1635,1793
504,3875,2244,2284
362,2628,1469,1639
135,780,464,495
168,1036,588,668
333,2384,1328,1490
280,1917,1100,1188
365,2650,1485,1653
988,8569,4848,4996
871,7449,4117,4440
993,8622,4885,5014
732,6058,3348,3680
67,326,197,211
606,4836,2691,2951
399,2971,1658,1820
65,313,193,199
314,2207,1245,1383
786,6582,3655,3967
53,237,143,164
346,2454,1389,1559
482,3705,2105,2203
270,1863,1063,1125
875,7458,4141,4460
421,3136,1764,1934
118,664,393,423
601,4811,2664,2923
460,3483,1976,2112
966,8380,4703,4899
646,5248,2899,3183
18,50,35,41
756,6282,3496,3796
781,6514,3632,3935
363,2651,1474,1644
347,2491,1394,1564
337,2404,1347,1511
281,1932,1103,1195
826,6989,3863,4199
478,3680,2081,2187
455,3452,1950,2088
565,4471,2500,2691
731,6058,3341,3676
263,1794,1040,1078
435,3272,1838,2000
948,8157,4584,4820
507,3917,2264,2294
4,5,4,4
440,3304,1868,2020
517,4023,2314,2349
168,1041,588,668
780,6504,3628,3928
294,2059,1155,1273
151,904,519,584
180,1141,640,724
883,7558,4193,4496
625,5036,2788,3063
627,5032,2798,3075
926,7971,4449,4713
834,7056,3911,4239
468,3590,2020,2148
107,590,343,385
288,1993,1136,1232
629,5075,2809,3086
18,55,35,41
169,1050,591,674
551,4320,2439,2598
377,2766,1553,1705
733,6091,3354,3685
652,5305,2924,3224
235,1556,898,961
898,7681,4295,4559
81,417,242,278
990,8604,4863,5003
527,4124,2347,2426
239,1607,921,974
368,2678,1504,1664
1,0,0,0
594,4730,2631,2879
45,192,115,136
