SIZE,AVERAGE,BEST,WORST
383,3338,3508,3284
427,3763,4035,3778
384,3428,3169,3876
584,5977,5673,5684
166,1125,1206,1302
585,5222,5485,5821
596,7037,5962,6757
623,6145,6289,6454
327,2701,2925,2593
466,4034,4441,4543
669,6797,7142,7206
65,423,341,320
690,7018,6494,7081
868,8748,8770,10239
72,377,413,421
595,5640,6178,5490
734,7180,8021,7701
389,3586,3345,4007
289,2426,2266,2379
148,1048,1104,1142
870,8450,9173,8789
626,5852,6056,6564
651,6374,6626,7061
518,5193,4978,4754
758,7381,8254,7749
302,2594,2657,2594
82,471,453,512
522,4976,4676,5492
294,2351,2614,2345
282,2269,2332,2298
124,889,873,1016
847,8955,9313,8211
426,3610,3556,3578
55,272,347,295
784,7685,8069,8144
291,2354,2836,2512
242,2015,1871,1940
164,1124,1184,1470
391,3620,3390,3787
88,539,640,532
659,6163,6022,6775
708,7855,7272,7921
416,4480,3815,3796
674,6942,6302,6838
871,8963,9700,9212
826,8339,9600,8844
578,6087,5631,6144
820,8883,8561,8296
133,934,1076,1008
342,2946,3467,3187
231,1864,1673,2045
529,5145,5232,5232
880,8948,11469,8681
891,10554,9794,9202
112,677,873,806
40,187,227,174
373,3430,3318,3279
397,3662,3541,3640
533,5079,4933,5346
36,182,146,162
218,1464,1622,1950
217,1661,1689,1735
372,3039,3281,3264
101,609,615,685
33,140,151,146
207,1560,1605,1643
798,8769,8080,9037
382,3672,3599,3270
116,674,718,882
125,875,828,813
591,5650,6115,5458
371,3288,3874,3704
380,3524,3254,3355
865,9908,9441,9217
234,1739,1917,1801
828,8403,9334,8815
437,3950,4311,3897
378,3302,3688,3336
230,1782,1851,1849
468,4787,4265,4036
850,8951,8054,8711
413,3862,4038,3792
619,5536,6493,6256
222,1749,1686,1652
769,8119,7846,7910
482,4639,5327,4379
846,8340,8341,8307
574,5126,5408,5275
726,8012,7606,7389
209,1709,1694,1648
656,6519,8941,6636
773,8201,7797,7608
324,3093,2554,2859
267,2049,2030,2077
625,5724,6566,5704
649,6413,6484,6174
554,5691,5162,5480
193,1573,1573,1401
888,9566,8942,9683
177,1312,1218,1360
500,4651,4977,4602
897,10065,9746,8898
532,5528,5062,5761
540,4937,4895,5831
884,8839,9016,9224
253,1985,2144,1994
742,7521,7257,7119
388,3622,3304,3493
699,7289,6907,7527
141,1035,936,918
121,735,979,765
351,2913,3019,2978
721,7356,7996,6563
96,594,557,554
293,2353,2566,2568
829,9066,8510,8946
263,1981,2058,2182
262,2264,2225,2241
251,1965,2123,2075
753,7624,7893,7498
105,707,615,687
506,5557,4930,4856
